affiliation	count
Voltaire [François Marie Arouet]	331
Conseil de régence de Montbéliard	44
Jean Frédéric Flachsland	27
Baron Reinhard von Gemmingen	16
Charles Henry Chrétien Rosé	16
François Louis Jeanmaire	11
Jean de Türckheim	10
Georges Lalance	8
Jean Louis Wagnière	4
François Joseph Meiner	4
Jean Robert Tronchin	4
Baron Heinrich Anton von Beckers	4
Pierre Michel Hennin	3
James Boswell	3
Jean Louis Treitlinger	3
— Bregenzer	3
Alexandre Marie François de Paule de Dompierre d'Hornoy	3
Louisa Dorothea von Meiningen	2
duchess of Saxe-Gotha	2
Gottfried Adam Hochstetter	2
Finguerlin Stolzenberg	2
Adam Ferguson	2
Pierre Robert Le Cornier de Cideville	2
Dominique Audibert	2
Sébastien Dupont	2
Louis Mannory	2
1st Baron Walpole of Wolterton	2
Horatio Walpole	2
Baron Friedrich Wilhelm von Marschall	1
Louis François Armand Du Plessis	1
duc de Richelieu	1
Gabriel Cramer	1
Isaac Budé	1
baron de Grandcour	1
Jean Louis Labat	1
M. — Richard	1
Jean Baptiste Pigalle	1
Joseph Marie Balleydier	1
Samuel Morris	1
Jean François Crousaz de Prélaz	1
Horace Walpole	1
4th earl of Orford	1
duke of Württemberg	1
Charles Eugene von Württemberg	1
Philippe de Noailles	1
duc de Mouchy	1
Charles Palissot de Montenoy	1
Jacques Abram Elie Daniel Clavel de Brenles	1
1st Earl Spencer	1
John Spencer	1
Henri Escallier	1
Louis Gaspard Fabry	1
Jeremy Bentham	1
Charles Vincent Du Plaquet	1
Aaron Hill	1
Jacques Marie Bertrand Gaillard d'Etallonde	1
— Salmon	1
Graf Franz von Freytag	1
king of Prussia	1
Frederick II	1
Charles Marie de La Condamine	1
M. — Bazin	1
Cosimo Alessandro Collini	1
Claude François Jore	1
François Fargès de Polizy	1
Anne Antoinette Françoise de Champbonin	1
David Garrick	1
Joseph Cradock	1
Samuel Sharpe	1
comte d'Argental	1
Charles Augustin Feriol	1
Jean Joseph de Laborde	1
seigneur d'Hermenches	1
David Louis Constant de Rebecque	1
baron de Massingy	1
Joseph Vibert	1
Claude Étienne Darget	1
Christian Gottlieb von Hohmann	1
Graf von Hohenthal	1
Philip Stanhope	1
